节点类型,节点名称,节点名称,节点名称,节点名称,节点名称,节点名称,节点名称,前置节点,后置节点,关联节点,标签,知识点分类,节点说明
知识点,人工智能导论,,,,,,,,,,,,
分类,知识与推理,,,,,,,,,,,,
分类,,基于产生式规则的机器推理,,,,,,,,,,,
分类,,,产生式规则,,,,,,,,,,
分类,,,,产生式规则与推理网络,,,,,,,,,
分类,,,,基于产生式规则的推理模式,,,,,,,,,
分类,,,产生式系统,,,,,,,,,,
分类,,,,产生式系统结构,,,,,,,,,
分类,,,,产生式系统运行过程,,,,,,,,,
分类,,,,控制策略与常用算法,,,,,,,,,
分类,,,,程序实现,,,,,,,,,
分类,,,产生式系统与图搜索问题求解,,,,,,,,,,
分类,,几种结构化知识表示及其推理,,,,,,,,,,,
分类,,,元组,,,,,,,,,,
分类,,,框架,,,,,,,,,,
分类,,,语义网络,,,,,,,,,,
分类,,,知识图谱,,,,,,,,,,
分类,,,类与对象,,,,,,,,,,
分类,,不确定和不确切性知识的表示与推理,,,,,,,,,,,
分类,,,不确定性知识的表示及推理,,,,,,,,,,
分类,,,几种经典的不确定性推理模型,,,,,,,,,,
分类,,,基于贝叶斯网络的概率推理,,,,,,,,,,
分类,,,不确切性知识的表示及推理,,,,,,,,,,
分类,,基于一阶谓词的机器推理,,,,,,,,,,,
分类,,,一阶谓词逻辑,,,,,,,,,,
分类,,,,谓词，函数，量词,,,,,,,,,
知识点,,,,,"表达式 P(t₁,t₂,…,tn) 称为一个n 元谓词，或简称谓词。其中，P 是谓词名或谓词符号，也称谓词，表示对象的 属性、状态、关系、联系或行为；t₁,t₂, …,t,       称为谓词的项，一般代表对象。",,,,,,,,
知识点,,,,,个体常元,,,,,,,,
知识点,,,,,个体变元,,,,,,,,
知识点,,,,,命题,,,,,,,,
知识点,,,,,命题形式,,,,,,,,
知识点,,,,,个体域(或论述域),,,,,,,,
知识点,,,,,全称量词,,,,,,,,
知识点,,,,,存在量词,,,,,,,,
知识点,,,,,指导变元,,,,,,,,
知识点,,,,,约束变元,,,,,,,,
知识点,,,,,一阶谓词,,,,,,,,
知识点,,,,,二阶谓词,,,,,,,,
分类,,,,谓词公式,,,,,,,,,
知识点,,,,,项,,,,,,,,
知识点,,,,,原子谓词公式,,,,,,,,
知识点,,,,,谓词公式,,,,,,,,
知识点,,,,,合取范式,,,,,,,,
知识点,,,,,析取范式,,,,,,,,
知识点,,,,,逻辑等价,,,,,,,,
知识点,,,,,逻辑蕴涵,,,,,,,,
分类,,,,,逻辑等价式,,,,,,,,
分类,,,,,逻辑蕴涵式,,,,,,,,
分类,,,,永真式与推理规则,,,,,,,,,
知识点,,,,,永真式,,,,,,,,
